Date,INDU,GS ,MMM ,BA ,UNH,HD ,AAPL ,IBM ,MCD ,JNJ ,UTX ,TRV ,DIS ,CVX ,CAT ,V ,JPM ,PG,XOM ,DD ,AXP ,WMT ,MSFT ,MRK ,NKE ,VZ ,KO ,INTC ,CSCO,PFE ,GE 
3/31/2014,16457.66,163.85,135.66,125.49,81.99,79.13,76.68,192.49,98.03,98.23,116.84,85.10,80.07,118.91,99.37,53.97,60.71,80.60,97.68,63.74,90.03,76.43,40.99,56.77,36.93,47.57,38.66,25.81,22.41,32.12,25.89
4/30/2014,16580.84,159.82,139.09,129.02,75.04,79.51,84.30,196.47,101.38,101.29,118.33,90.58,79.34,125.52,105.40,50.65,55.98,82.55,102.41,63.95,87.43,79.71,40.40,58.56,36.48,46.73,40.79,26.69,23.11,31.28,26.89
5/30/2014,16717.17,159.81,142.55,135.25,79.63,80.23,90.43,184.36,101.43,101.46,116.22,93.45,84.01,122.79,102.23,53.71,55.57,80.79,100.53,65.84,91.50,76.77,40.94,57.86,38.46,49.96,40.91,27.32,24.62,29.63,26.79
6/30/2014,16826.60,167.44,143.24,127.23,81.75,80.96,92.93,181.27,100.74,104.62,115.45,94.07,85.74,130.55,108.67,52.68,57.62,78.59,100.68,62.17,94.87,75.07,41.70,57.85,38.78,48.93,42.36,30.90,24.85,29.68,26.28
7/31/2014,16563.30,172.87,140.89,120.48,81.05,80.85,95.57,191.67,94.56,100.09,105.15,89.56,85.88,129.24,100.75,52.75,57.67,77.32,98.94,61.09,88.00,73.58,43.16,56.74,38.57,50.42,39.29,33.89,25.23,28.70,25.15
8/29/2014,17098.45,179.11,144.00,126.80,86.68,93.50,102.50,192.30,93.72,103.73,107.98,94.71,89.88,129.45,109.07,53.13,59.45,83.11,99.46,62.80,89.55,75.50,45.43,60.11,39.28,49.82,41.72,34.92,24.99,29.39,25.98
9/30/2014,17042.90,183.57,141.68,127.38,86.25,91.74,100.75,189.83,94.81,106.59,105.60,93.94,89.03,119.32,99.03,53.34,60.24,83.74,94.05,68.17,87.54,76.47,46.36,59.28,44.60,49.99,42.66,34.82,25.17,29.57,25.62
10/31/2014,17390.52,189.99,153.77,124.91,95.01,97.52,108.00,164.40,93.73,107.78,107.00,100.80,91.38,119.95,101.41,60.36,60.48,87.27,96.71,65.69,89.95,76.27,46.95,57.94,46.49,50.25,41.88,34.01,24.47,29.95,25.81
11/28/2014,17828.24,188.41,160.09,134.36,98.63,99.40,118.93,162.17,96.81,108.25,110.08,104.45,92.51,108.87,100.60,64.55,60.16,90.43,90.54,67.83,92.42,87.54,47.81,60.40,49.65,50.59,44.83,37.25,27.64,31.15,26.49
12/31/2014,17823.07,193.83,164.32,129.98,101.09,104.97,110.38,160.44,93.70,104.57,115.00,105.85,94.19,112.18,91.53,65.55,62.58,91.09,92.45,70.24,93.04,85.88,46.45,56.79,48.08,46.78,42.22,36.29,27.82,31.15,25.27
1/30/2015,17164.95,172.41,162.30,145.37,106.25,104.42,117.16,153.31,92.44,100.14,114.78,102.82,90.96,102.53,79.97,63.73,54.38,84.29,87.42,67.65,80.69,84.98,40.40,60.28,46.13,45.71,41.17,33.04,26.37,31.25,23.89
2/27/2015,18132.70,189.79,168.65,150.85,113.63,114.75,128.46,161.94,98.90,102.51,121.91,107.44,104.08,106.68,82.90,67.83,61.28,85.13,88.54,73.95,81.59,83.93,43.85,58.54,48.56,49.45,43.30,33.25,29.51,34.32,25.99
3/31/2015,17776.12,187.97,164.95,150.08,118.29,113.61,124.43,160.50,97.44,100.60,117.20,108.13,104.89,104.98,80.03,65.41,60.58,81.94,85.00,67.89,78.12,82.25,40.66,57.48,50.17,48.63,40.55,31.27,27.53,34.79,24.81
4/30/2015,17840.52,196.42,156.39,143.34,111.40,106.98,125.15,171.29,96.55,99.20,113.75,101.11,108.72,111.06,86.88,66.05,63.26,79.51,87.37,69.54,77.45,78.05,48.64,59.56,49.42,50.44,40.56,32.55,28.83,33.93,27.08
5/29/2015,18010.68,206.19,159.08,140.52,120.21,111.42,130.28,169.65,95.93,100.14,117.17,101.12,110.37,103.00,85.32,68.68,65.78,78.39,85.20,67.46,79.72,74.27,46.86,60.89,50.84,49.44,40.96,34.46,29.31,34.75,27.27
6/30/2015,17619.51,208.79,154.30,138.72,122.00,111.13,125.43,162.66,95.07,97.46,110.93,96.66,114.14,96.47,84.82,67.15,67.76,78.24,83.20,60.75,77.72,70.93,44.15,56.93,54.01,46.61,39.23,30.42,27.46,33.53,26.57
7/31/2015,17689.86,205.07,151.34,144.17,121.40,117.03,121.30,161.99,99.86,100.21,100.31,106.12,120.00,88.48,78.63,75.34,68.53,76.70,79.21,55.76,76.06,71.98,46.70,58.96,57.61,46.79,41.08,28.95,28.42,36.06,26.10
8/31/2015,16528.03,188.60,142.14,130.68,115.70,116.46,112.76,147.89,95.02,93.98,91.61,99.55,101.88,80.99,76.44,71.30,64.10,70.67,75.24,51.50,76.72,64.73,43.52,53.85,55.88,46.01,39.32,28.54,25.88,32.22,24.82
9/30/2015,16284.70,173.76,141.77,130.95,116.01,115.49,110.30,144.97,98.53,93.35,88.99,99.53,102.20,78.88,65.36,69.66,60.97,71.94,74.35,48.20,74.13,64.84,44.26,49.39,61.49,43.51,40.12,30.14,26.25,31.41,25.22
10/30/2015,17663.54,187.50,157.21,148.07,117.78,123.64,119.50,140.08,112.25,101.03,98.41,112.89,113.74,90.88,72.99,77.58,64.25,76.38,82.74,63.40,73.26,57.24,52.64,54.66,65.52,46.88,42.35,33.86,28.85,33.82,28.92
11/30/2015,17719.92,190.02,156.58,145.45,112.71,133.88,118.30,139.42,114.16,101.24,96.05,114.57,113.47,91.32,72.65,79.01,66.68,74.84,81.66,67.34,71.64,58.84,54.35,53.01,66.14,45.45,42.62,34.77,27.25,32.77,29.94
12/31/2015,17425.03,180.23,150.64,144.59,117.64,132.25,105.26,137.62,118.14,102.72,96.07,112.86,105.08,89.96,67.96,77.55,66.03,79.41,77.95,66.60,69.55,61.30,55.48,52.82,62.50,46.22,42.96,34.45,27.16,32.28,31.15
1/29/2016,16466.30,161.56,151.00,120.13,115.16,125.76,97.34,124.79,123.78,104.44,87.69,107.04,95.82,86.47,62.24,74.49,59.50,81.69,77.85,52.76,53.50,66.36,55.09,50.67,62.01,49.97,42.92,31.02,23.79,30.49,29.10
2/29/2016,16516.50,149.53,156.87,118.18,119.10,124.12,96.69,131.03,117.19,105.21,96.62,107.52,95.52,83.44,67.70,72.39,56.30,80.29,80.15,60.87,55.58,66.34,50.88,50.21,61.59,50.73,43.13,29.59,26.18,29.67,29.14
3/31/2016,17685.09,156.98,166.63,126.94,128.90,133.43,108.99,151.45,125.68,108.20,100.10,116.71,99.31,95.40,76.54,76.48,59.22,82.31,83.59,63.32,61.40,68.49,55.23,52.91,61.47,54.08,46.39,32.35,28.47,29.64,31.79
4/29/2016,17773.64,164.11,167.38,134.80,131.68,133.89,93.74,145.94,126.49,112.08,104.37,109.90,103.26,102.18,77.72,77.24,63.20,80.12,88.40,65.91,65.43,66.87,49.87,54.84,58.94,50.94,44.80,30.28,27.49,32.71,30.75
5/31/2016,17787.20,159.48,168.32,126.15,133.67,132.12,99.86,153.74,122.06,112.69,100.58,114.14,99.22,101.00,72.51,78.94,65.27,81.04,89.02,65.41,65.76,70.78,53.00,56.26,55.22,50.90,44.60,31.59,29.05,34.70,30.23
6/30/2016,17929.99,148.58,175.12,129.87,141.20,127.69,95.60,151.78,120.34,121.30,102.55,119.04,97.82,104.83,75.81,74.17,62.14,84.67,93.74,64.80,60.76,73.02,51.17,57.61,55.20,55.84,45.33,32.80,28.69,35.21,31.48
7/29/2016,18432.24,158.81,178.36,133.66,143.20,138.24,104.21,160.62,117.65,125.23,107.65,116.22,95.95,102.48,82.76,78.05,63.97,85.59,88.95,69.17,64.46,72.97,56.68,58.66,55.50,55.41,43.63,34.86,30.53,36.89,31.14
8/31/2016,18400.88,169.46,179.24,129.45,136.05,134.12,106.10,158.88,115.66,119.34,106.43,118.71,94.46,100.58,81.95,80.90,67.50,87.31,87.14,69.60,65.58,71.44,57.46,62.79,57.64,52.33,43.43,35.89,31.44,34.80,31.24
9/30/2016,18308.15,161.27,176.23,131.74,140.00,128.68,113.05,158.85,115.36,118.13,101.60,114.55,92.86,102.92,88.77,82.70,66.59,89.75,87.28,66.97,64.04,72.12,57.60,62.41,52.65,51.98,42.32,37.75,31.72,33.87,29.62
10/31/2016,18142.42,178.24,165.30,142.43,141.33,122.01,113.54,153.69,112.57,115.99,102.20,108.18,92.69,104.75,83.46,82.51,69.26,86.80,83.32,68.79,66.42,70.02,59.92,58.72,50.18,48.10,42.40,34.87,30.68,31.71,29.10
11/30/2016,19123.58,219.29,171.74,150.56,158.32,129.40,110.52,162.22,119.27,111.30,107.72,113.35,99.12,111.56,95.56,77.32,80.17,82.46,87.30,73.61,72.04,70.43,60.26,61.19,50.07,49.90,40.35,34.70,29.82,32.14,30.76
12/30/2016,19762.60,239.45,178.57,155.68,160.04,134.08,115.82,165.99,121.72,115.21,109.62,122.42,104.22,117.70,92.74,78.02,86.29,84.08,90.26,73.40,74.08,69.12,62.14,58.87,50.83,53.38,41.46,36.27,30.22,32.48,31.60
1/31/2017,19864.09,229.32,174.82,163.42,162.10,137.58,121.35,174.52,122.57,113.25,109.67,117.78,110.65,111.35,95.66,82.71,84.63,87.60,83.89,75.50,76.38,66.74,64.65,61.99,52.90,49.01,41.57,36.82,30.72,31.73,29.70
2/28/2017,20812.24,248.06,186.35,180.23,165.38,144.91,136.99,179.82,127.65,122.21,112.55,122.24,110.09,112.50,96.66,87.94,90.62,91.07,81.32,78.54,80.06,70.93,63.98,65.87,57.16,49.63,41.96,36.20,34.18,34.12,29.81
3/31/2017,20663.22,229.72,191.33,176.86,164.01,146.83,143.66,174.14,129.61,124.55,112.21,120.54,113.39,107.37,92.76,88.87,87.84,89.85,82.01,80.33,79.11,72.08,65.86,63.54,55.73,48.75,42.44,36.07,33.80,34.21,29.80
4/28/2017,20940.51,223.80,195.83,184.83,174.88,156.10,143.65,160.29,139.93,123.47,118.99,121.66,115.60,106.70,102.26,91.22,87.00,87.33,81.65,79.75,79.25,75.18,68.46,62.33,55.41,45.91,43.15,36.15,34.07,33.92,28.99
